"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","4","952-2262-ND","M20-9990246","CONN HEADER VERT 2POS 2.54MM","","4","0","0.10000","0.40"
"2","8","399-C0805C104K5RACTUCT-ND","C0805C104K5RACTU","CAP CER 0.1UF 50V X7R 0805","","8","0","0.13000","1.04"
"3","3","399-C0805X106J8RAC7210CT-ND","C0805X106J8RAC7210","CAP CER 10UF 10V X7R 0805","","3","0","1.21000","3.63"
"4","1","2073-USB4105-GF-ACT-ND","USB4105-GF-A","CONN RCP USB2.0 TYP C 16P SMD RA","","1","0","0.80000","0.80"
"5","2","311-1.00KHRCT-ND","RC0603FR-071KL","RES 1K OHM 1% 1/10W 0603","","2","0","0.10000","0.20"
"6","2","311-1.00HRCT-ND","RC0603FR-071RL","RES 1 OHM 1% 1/10W 0603","","2","0","0.10000","0.20"
"7","4","311-10.0KHRCT-ND","RC0603FR-0710KL","RES 10K OHM 1% 1/10W 0603","","4","0","0.10000","0.40"
"8","2","108-KMR221GLFSCT-ND","KMR221G LFS","SWITCH TACTILE SPST-NO 0.05A 32V","","2","0","0.61000","1.22"
"9","1","1267-MMC5983MACT-ND","MMC5983MA","SEN MR I2C/SPI 16-LGA","","1","0","2.93000","2.93"
"10","1","828-1091-1-ND","BMI270","IMU ACCEL/GYRO I2C/SPI 14LGA","","0","1","3.88000","3.88"
"11","1","1965-ESP32-S3-WROOM-1-N4CT-ND","ESP32-S3-WROOM-1-N4","RF TXRX MODULE BT PCB TRACE SMD","","1","0","5.21000","5.21"
"12","1","NCP1117ST33T3GOSCT-ND","NCP1117ST33T3G","IC REG LINEAR 3.3V 1A SOT-223","","1","0","0.60000","0.60"
"13","1","296-50511-1-ND","TVS1400DRVR","UNIDIR  PRECISION SURGE DIODE","","1","0","1.03000","1.03"

